conta;ccusto;data;valor;chave;chave2
AGUA;COM MVF;06/05/2019;60;AGUACOMMVF52019FRANC60;AGUACOMMVF52019
AGUA;PM MVF;06/05/2019;180;AGUAPMMVF52019FRANC180;AGUAPMMVF52019
COPA/COZINHA;AZUL REC;08/05/2019;170,5;COPA/COZINHAAZULREC52019MARLI1705;COPA/COZINHAAZULREC52019
ENTREGA DE TERCEIROS;AZUL REC;03/05/2019;2700;ENTREGADETERCEIROSAZULREC52019KENNE2700;ENTREGADETERCEIROSAZULREC52019
ENTREGA DE TERCEIROS;AZUL REC;08/05/2019;3150;ENTREGADETERCEIROSAZULREC52019ANAM3150;ENTREGADETERCEIROSAZULREC52019
ENTREGA DE TERCEIROS;AZUL REC;08/05/2019;2800;ENTREGADETERCEIROSAZULREC52019ANAM2800;ENTREGADETERCEIROSAZULREC52019
ENTREGA DE TERCEIROS;AZUL REC;08/05/2019;1050;ENTREGADETERCEIROSAZULREC52019ANAM1050;ENTREGADETERCEIROSAZULREC52019
EXAMES MEDICOS;AZUL REC;06/05/2019;170;EXAMESMEDICOSAZULREC52019APTA170;EXAMESMEDICOSAZULREC52019
LOCACAO DE MAQUINAS E EQUIPAMENTOS;AZUL REC;09/05/2019;413,15;LOCACAODEMAQUINASEEQUIPAMENTOSAZULREC52019AMFS41315;LOCACAODEMAQUINASEEQUIPAMENTOSAZULREC52019
MANUTENCAO IMOVEIS;AZUL REC;03/05/2019;600;MANUTENCAOIMOVEISAZULREC52019FOCUS600;MANUTENCAOIMOVEISAZULREC52019
MANUTENCAO CORRETIVA;AZUL REC;09/05/2019;367,9856;MANUTENCAOCORRETIVAAZULREC52019CEMEC3679856;MANUTENCAOCORRETIVAAZULREC52019
MANUTENCAO CORRETIVA;AZUL REC;09/05/2019;330,0144;MANUTENCAOCORRETIVAAZULREC52019CEMEC3300144;MANUTENCAOCORRETIVAAZULREC52019
MANUTENCAO CORRETIVA;AZUL REC;09/05/2019;209,77;MANUTENCAOCORRETIVAAZULREC52019CEMEC20977;MANUTENCAOCORRETIVAAZULREC52019
MANUTENCAO CORRETIVA;AZUL REC;09/05/2019;44;MANUTENCAOCORRETIVAAZULREC52019CEMEC44;MANUTENCAOCORRETIVAAZULREC52019
MANUTENCAO CORRETIVA;COM NAT;03/05/2019;2580,0856;MANUTENCAOCORRETIVACOMNAT52019MAURI25800856;MANUTENCAOCORRETIVACOMNAT52019
MANUTENCAO CORRETIVA;COM REC;03/05/2019;1251,9144;MANUTENCAOCORRETIVACOMREC52019MAURI12519144;MANUTENCAOCORRETIVACOMREC52019
MANUTENCAO PREVENTIVA;AZUL REC;03/05/2019;400;MANUTENCAOPREVENTIVAAZULREC52019FOCUS400;MANUTENCAOPREVENTIVAAZULREC52019
SEGURANCA;AZUL REC;02/05/2019;237;SEGURANCAAZULREC52019MARCO237;SEGURANCAAZULREC52019
SEGURANCA;AZUL REC;02/05/2019;188;SEGURANCAAZULREC52019MARCO188;SEGURANCAAZULREC52019
SEGURANCA;AZUL REC;02/05/2019;135;SEGURANCAAZULREC52019MARCO135;SEGURANCAAZULREC52019
TELEFONIA E INTERNET;AZUL REC;03/05/2019;300;TELEFONIAEINTERNETAZULREC52019GRSO300;TELEFONIAEINTERNETAZULREC52019
TELEFONIA E INTERNET;AZUL REC;07/05/2019;155,47;TELEFONIAEINTERNETAZULREC52019TELEM15547;TELEFONIAEINTERNETAZULREC52019
TELEFONIA E INTERNET;AZUL REC;07/05/2019;143,61;TELEFONIAEINTERNETAZULREC52019TELEM14361;TELEFONIAEINTERNETAZULREC52019
TELEFONIA E INTERNET;COM REC;06/05/2019;450;TELEFONIAEINTERNETCOMREC52019JULIO450;TELEFONIAEINTERNETCOMREC52019
ALUGUEL DE IMOVEIS;AZUL BYX;01/05/2019;580;ALUGUELDEIMOVEISAZULBYX52019IMOBI580;ALUGUELDEIMOVEISAZULBYX52019
ENTREGA DE TERCEIROS;AZUL BYX;02/05/2019;998;ENTREGADETERCEIROSAZULBYX52019IVALD998;ENTREGADETERCEIROSAZULBYX52019
MANUTENCAO IMOVEIS;AZUL BYX;02/05/2019;160;MANUTENCAOIMOVEISAZULBYX52019ERIVA160;MANUTENCAOIMOVEISAZULBYX52019
SINDICATO;AZUL BYX;09/05/2019;52,24;SINDICATOAZULBYX52019SIND5224;SINDICATOAZULBYX52019
AGUA;AZUL BYX;14/05/2019;135,3;AGUAAZULBYX52019COMPA1353;AGUAAZULBYX52019
ALUGUEL DE IMOVEIS;AZUL FOR;01/05/2019;3900;ALUGUELDEIMOVEISAZULFOR52019TERRA3900;ALUGUELDEIMOVEISAZULFOR52019
